Páginas principais,Cliques,Impressões,CTR,Posição
https://fla10.news/noticias/flamengo-vence-o-benfica-conquista-o-trofeu-do-algarve-e-encerra-intertemporada-em-portugal-com-sinais-animadores-para-o-restante-da-temporada,1,9,11.11%,1
https://fla10.news/noticias/rossi-questionado-as-falhas-que-transformaram-uma-seguranca-em-preocupacao,1,9,11.11%,4.89
https://fla10.news/noticias/por-que-o-pedro-nunca-e-unanimidade-o-paradoxo-do-camisa-9-que-sobrevive-a-todos-os-tecnicos-no-flamengo,1,8,12.5%,4.75
https://fla10.news/noticias/fim-das-polemicas-a-estreia-do-impedimento-semiautomatico-no-brasileirao-ja-divide-opinioes-e-levanta-novos-debates,1,7,14.29%,8.14
https://fla10.news/noticias/flamengo-e-sesc-rj-ampliam-parceria-e-anunciam-maior-investimento-da-historia-nos-esportes-olimpicos-do-clube,1,6,16.67%,8
https://fla10.news/noticias/bap-abre-o-jogo-sobre-reforcos-mercado-e-futuro-do-flamengo-em-entrevista-a-vene-casagrande,1,5,20%,5.6
https://fla10.news/flahistoria/flamengo-um-clube-de-vanguarda,1,4,25%,3.25
https://fla10.news/noticias/jornalista-do-the-times-provoca-debate-mundial-ao-questionar-o-futuro-do-futebol-brasileiro-onde-estao-os-superastros,1,3,33.33%,6.33
https://fla10.news/noticias/maracana-vira-motivo-de-impasse-entre-a-dupla-fla-flu-e-a-fifa-e-flamengo-ja-calcula-possiveis-prejuizos-para-2027,1,3,33.33%,13.67
https://fla10.news/noticias/flabasquete-anunciou-novo-reforco-e-vai-mandar-jogos-em-niteroi,1,2,50%,30
https://fla10.news/noticias/flamengo-investe-modernizacao-centro-treinamento-volei,1,1,100%,9
https://fla10.news/noticias/internacional-x-flamengo-onde-assistir-horario-provaveis-escalacoes-e-arbitragem-pelo-brasileirao,0,197,0%,7.97
https://fla10.news/noticias/flamengo-x-vitoria-onde-assistir-provaveis-escalacoes-trio-de-arbitragem-tudo-sobre-o-jogo-de-hoje-no-maracana,0,144,0%,7.91
https://fla10.news/futebol,0,106,0%,8.4
https://fla10.news/noticias/independiente-del-valle-ou-tolima-quem-pode-cruzar-o-caminho-do-flamengo-nas-quartas-da-libertadores,0,78,0%,7.58
https://fla10.news/colunas,0,70,0%,10.43
https://fla10.news/noticias/flamengo-tem-torcida-maior-que-a-soma-de-vasco-fluminense-e-botafogo-no-rio-aponta-pesquisa,0,69,0%,8.48
https://fla10.news/raio-x/como-joga-o-independiente-del-valle-e-o-que-o-flamengo-precisa-fazer-para-chegar-a-semifinal,0,67,0%,7.66
https://fla10.news/videos,0,67,0%,11.81
https://fla10.news/noticias/flamengo-se-aproxima-de-r-1-bilhao-em-reforcos-na-gestao-bap-e-boto-veja-o-balanco-das-contratacoes,0,48,0%,14.31
https://fla10.news/noticias/o-banco-de-reservas-pode-decidir-o-restante-da-temporada-do-flamengo,0,45,0%,8.53
https://fla10.news/noticias/flamengo-x-3b-da-amazonia-onde-assistir-horario-e-tudo-sobre-a-decisao-das-meninas-da-gavea-pela-copa-do-brasil-feminina,0,41,0%,10.49
https://fla10.news/noticias/jorge-carrascal-se-encontra-e-vira-um-dos-grandes-protagonistas-do-flamengo,0,36,0%,6.36
https://fla10.news/noticias/samuel-lino-vive-seu-melhor-momento-no-flamengo--e-deixou-de-ser-promessa-para-virar-protagonista,0,32,0%,12.12
https://fla10.news/e-sports,0,31,0%,19.74
https://fla10.news/ct,0,30,0%,6.67
https://fla10.news/flahistoria/os-4-herois-do-flamengo-na-copa-de-1958-como-o-rubro-negro-ajudou-a-mudar-a-historia-do-futebol-brasileiro,0,29,0%,8.21
https://fla10.news/noticias/flamengo-ganha-forca-nas-selecoes-pedro-e-samuel-lino-sao-convocados-jorginho-entra-no-radar-da-italia,0,28,0%,7.54
https://fla10.news/noticias/thiago-almada-no-flamengo-os-numeros-do-argentino-que-fazem-o-rubro-negro-sonhar-com-um-dos-jogadores-da-copa-do-mundo,0,28,0%,8.39
https://fla10.news/noticias/cruzeiro-2-x-1-flamengo-desperdicio-apagao-no-segundo-tempo-e-a-derrota-que-expoe-um-problema-de-jardim,0,26,0%,7.85
https://fla10.news/noticias/flamengo-x-corinthians-meninas-da-gavea-encaram-a-lider-em-duelo-decisivo-por-vaga-no-g-8-do-brasileirao-feminino,0,26,0%,15.42
https://fla10.news/noticias/anthony-valencia-e-joaquin-freitas-sao-apresentados-a-nacao-antes-da-vitoria-do-flamengo-sobre-o-mirassol,0,24,0%,6.21
https://fla10.news/flahistoria,0,24,0%,20.71
https://fla10.news/noticias/flamengo-e-a-marca-mais-forte-da-america-do-sul-e-aparece-ao-lado-dos-gigantes-do-futebol-mundial,0,21,0%,8.05
https://fla10.news/flahistoria/194-mil-pessoas-um-maracana-em-transe-e-um-0-a-0-o-dia-em-que-o-flamengo-entrou-para-a-historia-mundial-das-multidoes,0,21,0%,8.48
https://fla10.news/noticias/remo-x-flamengo-onde-assistir-horario-arbitragem-e-provaveis-escalacoes-do-jogo-pela-26-rodada-do-brasileirao,0,19,0%,13.11
https://fla10.news/volei,0,19,0%,20.58
https://fla10.news/noticias/jornalista-investigativo-frances-expoe-o-esquema-de-como-a-afa-transformou-a-paixao-nacional-em-um-balcao-de-negocios,0,18,0%,8.17
https://fla10.news/noticias/espanha-x-argentina-a-batalha-tatica-que-vai-decidir-a-copa-do-mundo-e-colocar-frente-a-frente-dois-modelos-distintos-de-jogar-futebol,0,18,0%,10.72
https://fla10.news/noticias/independiente-del-valle-elimina-o-tolima-e-sera-o-adversario-do-flamengo-nas-quartas-da-libertadores,0,16,0%,34.69
https://fla10.news/noticias/flamengo-renova-com-erick-pulgar-ate-2029-e-transforma-volante-em-peca-estrategica-para-a-era-leonardo-jardim,0,15,0%,3.73
https://fla10.news/noticias/analise-tatica---mirassol-x-flamengo-o-duelo-que-pode-colocar-o-rubro-negro-na-lideranca-virtual-do-brasileirao,0,15,0%,7.27
https://fla10.news/noticias/datafolha-confirma-hegemonia-nacional-flamengo-amplia-vantagem-e-segue-como-a-maior-torcida-do-brasil,0,15,0%,8.47
https://fla10.news/noticias/flamengo-acelera-e-recebe-dois-reforcos-anthony-valencia-e-joaquin-freitas-chegam-ao-rio,0,14,0%,12.29
https://fla10.news/videos/a-final-do-carioca-de-1963---o-fla-x-flu-que-botou-quase-200-mil-torcedoresno-maracana,0,14,0%,73.57
https://fla10.news/login,0,13,0%,3.31
https://fla10.news/noticias/o-alerta-que-vem-da-defesa-os-4-problemas-que-o-flamengo-precisa-corrigir-antes-das-quartas-da-libertadores,0,13,0%,7.38
https://fla10.news/noticias/a-campanha-da-argentina-que-dividiu-o-mundial-polemicas-de-arbitragem-antijogo-e-violencia-marcaram-o-caminho-ate-a-final,0,13,0%,7.46
https://fla10.news/noticias/argentina-x-suica-o-que-esperar-do-duelo-que-coloca-frente-a-frente-o-talento-sul-americano-e-a-disciplina-europeia-nas-quartas-da-copa-do-mundo,0,13,0%,26.38
https://fla10.news/noticias/flamengo-ainda-precisa-contratar-as-posicoes-que-preocupam-leonardo-jardim-para-a-reta-final-da-temporada,0,12,0%,7.42
https://fla10.news/flahistoria/o-urubu-como-a-nacao-transformou-o-preconceito-em-um-simbolo-de-orgulho,0,12,0%,9.33
https://fla10.news/galeria/trfNBg8RyWFTAuaMgcmh,0,10,0%,4.1
https://fla10.news/noticias/a-analise-de-mirassol-1-x-5-flamengo-o-raio-x-tatico-da-goleada,0,10,0%,6.1
https://fla10.news/autor/thiago-silva,0,10,0%,6.4
https://fla10.news/noticias/o-flamengo-venceu-o-cruzeiro-no-campo-onde-o-jogo-foi-decidido-a-analise-tatica-da-classificacao-rubro-negra,0,10,0%,6.6
https://fla10.news/noticias/inglaterra-atropela-no-primeiro-tempo-resiste-a-reacao-francesa-e-vence-jogo-historico-por-6-a-4-para-conquistar-o-terceiro-lugar-da-copa-do-mundo,0,10,0%,7.8
https://fla10.news/noticias/everton-cebolinha-deixa-o-flamengo-apos-quatro-anos-marcados-por-titulos-lesoes-e-uma-promessa-que-nunca-se-completou-,0,10,0%,14.4
https://fla10.news/noticias/bap-adota-discurso-realista-sobre-estadio-do-flamengo-talvez-meus-filhos-vejam-isso,0,10,0%,18.6
https://fla10.news/noticias/flamengo-x-mirassol-onde-assistir-horario-escalacoes-e-arbitragem-pela-4-rodada-do-brasileirao---tudo-sobre-o-jogo-que-pode-deixar-o-fla-a-um-ponto-do-palmeiras,0,10,0%,25.7
https://fla10.news/noticias/mirassol-x-flamengo-onde-assistir-ao-vivo-horario-provaveis-escalacoes-e-arbitragem-pelo-brasileirao-analise-completa-sobre-o-jogo-em-que-o-flamengo-pode-encostar-na-ponta-do-brasileirao,0,10,0%,42.7
https://fla10.news/flahistoria/a-chegada-de-almada-e-os-jogadores-em-comum-com-o-atletico-de-madrid,0,9,0%,7.67
https://fla10.news/noticias/os-cinco-nomes-da-goleada-pedro-decide-rossi-salva-jorginho-e-pulgar-comandam-o-meio-e-lorran-mostra-oportunismo-em-chapeco,0,9,0%,8.22
https://fla10.news/noticias/flamengo-faz-historia-em-brasilia-e-conquista-o-hexacampeonato-brasileiro-de-ginastica-artistica,0,9,0%,8.78
https://fla10.news/noticias/flamengo-x-chapecoense-onde-assistir-ao-vivo-trio-de-arbitragem-e-provaveis-escalacoes-do-duelo-de-retorno-do-flamengo-ao-brasileirao,0,9,0%,12.44
https://fla10.news/noticias/flamengo-inicia-maratona-do-segundo-semestre-com-desfalques-e-mira-vitoria-sobre-a-chapecoense-para-seguir-na-caca-ao-palmeiras,0,9,0%,14.33
https://fla10.news/estadio,0,9,0%,16
https://fla10.news/flahistoria/quando-uma-nacao-chorou-a-venda-de-zico-para-a-udinese-e-a-ferida-que-nunca-cicatrizou-no-coracao-rubro-negro,0,9,0%,48.89
https://fla10.news/noticias/ministerio-publico-investiga-possivel-superlotacao-no-maracana-e-notifica-flamengo-e-fluminense,0,8,0%,3.5
https://fla10.news/galeria/CuZbaiEz5VAZD4nBQV87,0,8,0%,4.5
https://fla10.news/videos/todos-os-gols-de-gonzalo-plata-pelo-flamengo,0,8,0%,6.88
https://fla10.news/noticias/cruzeiro-x-flamengo-onde-assistir-ao-vivo-horario-escalacoes-e-tudo-sobre-o-duelo-pela-libertadores,0,8,0%,8.62
https://fla10.news/noticias/flamengo-atropela-a-chapecoense-na-arena-conda-goleia-por-4-a-0-e-continua-na-cola-da-lideranca,0,8,0%,9.5
https://fla10.news/noticias/pulgar-virou-o-ponto-de-equilibrio-do-flamengo-de-jardim--e-seu-futuro-pode-ser-o-proximo-grande-problema-da-diretoria,0,8,0%,10.38
https://fla10.news/noticias/relatorio-aponta-flamengo-como-exemplo-de-sustentabilidade-financeira-no-futebol-brasileiro,0,8,0%,14.12
https://fla10.news/noticias/flamengo-sobe-o-tom-contra-a-arbitragem-apos-empate-com-o-sao-paulo-e-cobra-criterio-da-cbf,0,8,0%,30.88
https://fla10.news/galeria/I7AdCmfOwbe9JLMI27el,0,7,0%,1.14
https://fla10.news/videos/carlinhos-violino-um-heroi-rubro-negro,0,7,0%,1.14
https://fla10.news/noticias/anresf-barra-negocios-entre-vasco-palmeiras-e-crefisa-e-coloca-venda-da-saf-sob-investigacao,0,7,0%,4.71
https://fla10.news/noticias/flamengo-atropela-o-penarol-chega-a-final-da-brasil-ladies-cup-e-manda-recado-ao-futebol-feminino-sul-americano,0,7,0%,4.71
https://fla10.news/noticias/flamengo-tera-jogos-em-portugal-com-transmissao-para-todo-o-brasil-veja-onde-assistir-ao-torneio-do-algarve,0,7,0%,5.71
https://fla10.news/noticias/gonzalo-plata-se-reapresenta-ao-flamengo-e-pode-ganhar-nova-chance-contra-o-del-valle,0,7,0%,6.43
https://fla10.news/noticias/flamengo-vence-o-vitoria-com-golacos-retoma-o-caminho-das-vitorias-e-encurta-distancia-para-o-lider,0,7,0%,6.86
https://fla10.news/flahistoria/o-artilheiro-das-decisoes-o-homem-que-marcou-os-gols-que-levaram-o-flamengo-ao-topo-do-mundo,0,7,0%,9.14
https://fla10.news/videos/os-gols-de-flamengo-2-x-0-mirassol,0,6,0%,1.17
https://fla10.news/noticias/flamengo-vence-o-benfica-conquista-o-trofeu-do-algarve-e-encerra-intertemporada-em-portugal-com-sinais-animadores-para-o-restante-da-temporada/,0,6,0%,2.5
https://fla10.news/noticias/bap-quebra-o-misterio-no-maracana-e-anuncia-homenagem-historica-a-arrascaeta-e-bruno-henrique,0,6,0%,4.17
https://fla10.news/autores/carlao-azevedo,0,6,0%,6
https://fla10.news/noticias/a-pausa-que-pode-mudar-a-temporada-o-que-leonardo-jardim-precisa-corrigir-no-flamengo-nos-proximos-10-dias,0,6,0%,6.5
https://fla10.news/voz-torcedor/ornal-do-boteco--edicao-especial-do-mengao,0,6,0%,7
https://fla10.news/voz-torcedor/guerra-entre-leila-carminha-pereira-e-bap-malvadao-pode-gerar-processo,0,6,0%,7.5
https://fla10.news/noticias/por-que-o-flamengo-voltou-a-sofrer-com-marcacoes-altas,0,6,0%,8.33
https://fla10.news/noticias/sesc-rj-flamengo-confirma-renovacoes-e-mantem-base-para-a-temporada-202627,0,6,0%,9
https://fla10.news/noticias/flamengo-lanca-terceiro-uniforme-para-a-temporada-202627-e-resgata-identidade-com-design-moderno,0,6,0%,15.67
https://fla10.news/noticias/flamengo-aposta-em-nova-joia-e-recebe-juliano-viana-na-negociacao-por-wallace-yan,0,5,0%,1.4
https://fla10.news/noticias/reviravolta-no-flamengo-plata-e-reprovado-em-exames-na-russia-e-volta-ao-clube,0,5,0%,2.6
https://fla10.news/galeria/evK1rWeZiEf0MFsPC83i,0,5,0%,3.4
https://fla10.news/colunas/o-flamengo-voltou-a-ganhar-mas-sera-que-voltou-a-convencer,0,5,0%,4.2
https://fla10.news/noticias/fox-sports-precisa-explicar-por-que-messi-nao-joga-pelos-estados-unidos-durante-a-copa-do-mundo,0,5,0%,7.2
https://fla10.news/noticias/relatorio-aponta-que-gestao-financeira-do-flamengo-mais-sustentavel-que-a-de-diversas-safs,0,5,0%,8.8
https://fla10.news/voz-torcedor/cruzeiro-1-x-1-flamengo--o-quase-espetaculo-da-libertadores,0,5,0%,8.8
https://fla10.news/noticias/globo-entra-na-briga-e-flamengo-tera-ampla-cobertura-na-tv-e-na-internet-durante-a-intertemporada-em-portugal-saiba-onde-assistir-aos-amistosos,0,5,0%,9
https://fla10.news/noticias/pedro-esta-a-dois-gols-de-superar-gabigol-a-noite-que-pode-mudar-a-historia-do-flamengo-na-libertadores,0,5,0%,9
https://fla10.news/noticias/o-flamengo-esta-pronto-para-o-modo-mata-mata-o-que-a-classificacao-sobre-o-cruzeiro-revelou,0,5,0%,9.4
https://fla10.news/historia,0,5,0%,10
https://fla10.news/noticias/bruno-henrique-o-gol-contra-o-vitoria-e-a-historia-de-um-dos-maiores-idolos-da-era-moderna-do-flamengo,0,5,0%,17.6
https://fla10.news/noticias/flamengo-atropela-o-mirassol-goleia-por-5-a-1-e-cola-de-vez-no-lider-do-brasileirao,0,5,0%,18.8
https://fla10.news/noticias/flamengo-x-cruzeiro-onde-assistir-ao-vivo-provaveis-escalacoes-horario-e-tudo-sobre-o-jogo-decisivo-pela-classificacao-na-libertadores,0,5,0%,34.6
https://fla10.news/galeria/njEYSNaBCYNgopBtzUWK,0,4,0%,1.5
https://fla10.news/videos/copa-do-brasil-2013---o-titulo-que-alavancou-a-revolucao-rubro-negra,0,4,0%,2.5
https://fla10.news/noticias/franca-supera-retranca-do-paraguai-mbappe-decide-de-penalti-e-garante-vaga-nas-quartas-da-copa-do-mundo,0,4,0%,6.5
https://fla10.news/colunas/por-que-ninguem-falou-do-leo-ortiz,0,4,0%,6.75
https://fla10.news/galeria,0,4,0%,6.75
https://fla10.news/voz-torcedor/resumao-do-jogo-com-cadu-hoje-tem-e-assunto,0,4,0%,6.75
https://fla10.news/noticias/o-que-mudou-nas-ultimas-tres-partidas,0,4,0%,7
https://fla10.news/noticias/argentina-sofre-supera-a-resistencia-suica-na-prorrogacao-e-marca-encontro-historico-com-a-inglaterra-na-semifinal-da-copa-do-mundo,0,4,0%,7.25
https://fla10.news/noticias/flamengo-x-atletico-mg-em-jogo-decisivo-rubro-negras-entram-em-campo-por-vaga-nas-quartas-do-brasileirao-feminino,0,4,0%,7.25
https://fla10.news/raio-x/raio-x-tatico-flamengo-x-botafogo--onde-leonardo-jardim-pode-atacar-as-fragilidades-do-rival,0,4,0%,7.5
https://fla10.news/contato,0,4,0%,8.25
https://fla10.news/noticias/cria-do-ninho-rende-nova-fortuna-ao-flamengo-joao-gomes-acerta-com-gigante-da-premier-league-e-cofres-rubro-negros-agradecem,0,4,0%,10
https://fla10.news/noticias/flamengo-repete-feito-historico-de-1958-e-entra-para-grupo-seleto-da-selecao-brasileira,0,4,0%,10.25
https://fla10.news/noticias/flamengo-endurece-discurso-sobre-arbitragem-e-cobra-mudancas-o-futebol-brasileiro-precisa-voltar-a-discutir-o-jogo,0,4,0%,15
https://fla10.news/noticias/benfica-x-flamengo-onde-assistir-horario-escalacoes-e-tudo-sobre-o-principal-teste-do-rubro-negro-na-intertemporada-europeia,0,4,0%,16.5
https://fla10.news/voz-torcedor/da-serie-luiz-henrique-capitulo-847-se-liga-nesse-papo-com-cadu,0,4,0%,18.75
https://fla10.news/voz-torcedor/-jornal-do-boteco--a-conta-atrasada-foi-paga,0,3,0%,1
https://fla10.news/colunas/o-flamengo-aprendeu-a-respirar-nos-andes,0,3,0%,3
https://fla10.news/noticias/flamengo-domina-sai-na-frente-mas-cede-empate-ao-sao-paulo-no-maracana,0,3,0%,3.33
https://fla10.news/colunas/caderno/depois-do-apito,0,3,0%,4
https://fla10.news/noticias/flamengo-encerra-janela-com-reforcos-negocios-frustrados-e-uma-polemica-que-mudou-tudo,0,3,0%,4.67
https://fla10.news/noticias/carrascal-de-vilao-a-peca-importante-no-esquema-de-jogo-de-leonardo-jardim,0,3,0%,5.67
https://fla10.news/noticias/flamengo-blinda-lateral-promissor-da-base-com-vinculo-de-longa-duracao,0,3,0%,5.67
https://fla10.news/noticias/flamengo-vence-a-ferroviaria-e-larga-na-frente-nas-quartas-do-brasileirao-feminino,0,3,0%,6
https://fla10.news/noticias/expulsao-atacante-no-gol-e-empate-heroico-flamengo-arranca-ponto-dramatico-no-brasileiro-feminino,0,3,0%,7.67
https://fla10.news/videos/treino-do-dia-2107---preparacao-para-o-jogo-contra-a-chapecoense,0,3,0%,8
https://fla10.news/noticias/flamengo-lanca-o-projeto-chamado-academy-para-compartilhar-metodologia-da-base-e-formar-profissionais-do-futebol,0,3,0%,8.67
https://fla10.news/colunas/o-flamengo-foi-melhor-mas-o-penalti-foi-claro,0,3,0%,9
https://fla10.news/noticias/o-xadrez-de-jardim-e-artur-jorge-por-que-cruzeiro-e-flamengo-empataram-no-mineirao,0,3,0%,9.33
https://fla10.news/noticias/justica-mantem-taca-das-bolinhas-com-o-sao-paulo-e-impoe-nova-derrota-ao-flamengo-na-disputa-judicial,0,3,0%,10.33
https://fla10.news/noticias/flamengo-expande-nova-divisao-jogos-futebol-virtual,0,3,0%,11
https://fla10.news/voz-torcedor/-a-mesa-do-maracana-flamengo-fluminense-e-o-inquilino-desesperado,0,3,0%,17.33
https://fla10.news/noticias/rayan-lucas-retorna-ao-flamengo-mas-deve-deixar-o-clube-novamente,0,3,0%,20.67
https://fla10.news/noticias/maracana-tera-novo-museu-imersivo-em-2027-e-amplia-projeto-de-modernizacao-sob-gestao-fla-flu,0,3,0%,22.67
https://fla10.news/noticias/lubrax-esta-de-volta-flamengo-resgata-uma-das-parcerias-mais-emblematicas-de-sua-historia-e-reforca-receita-milionaria-com-novo-contrato,0,3,0%,32.33
https://fla10.news/videos/posicionamento-do-flamengo-sobre-a-arbitragem-da-partida-de-2607,0,3,0%,90.67
https://fla10.news/noticias/flamengo-encerra-preparacao-em-quito-antes-de-duelo-decisivo-contra-o-independiente-del-valle,0,2,0%,1
https://fla10.news/videos/entrevistas-jorginho-paqueta-rossi-valencia-e-freitas,0,2,0%,1
https://fla10.news/tirinhas/a-logica-do-placar,0,2,0%,1.5
https://fla10.news/voz-torcedor/-flamenguista-de-1980-era-feliz-com-um-1-a-0-o-de-2026-quer-o-time-pedindo-desculpa-por-nao-fazer-7-,0,2,0%,1.5
https://fla10.news/galeria/OxfiaLnIzvZ2tPJWDvAx,0,2,0%,2
https://fla10.news/tirinhas/a,0,2,0%,2
https://fla10.news/colunas/flamengo-e-a-janela-de-transferencias-entre-as-apostas-as-perdas-e-a-necessidade-de-equilibrio,0,2,0%,2.5
https://fla10.news/autor/robson-correa,0,2,0%,3
https://fla10.news/noticias/argentina-busca-virada-sobre-o-egito-em-jogo-marcado-por-polemicas-de-arbitragem-e-garante-vaga-nas-quartas-da-copa-do-mundo,0,2,0%,3
https://fla10.news/termos-de-uso,0,2,0%,3.5
https://fla10.news/noticias/de-contestado-a-referencia-como-varela-conquistou-o-flamengo-e-fez-do-rio-de-janeiro-sua-segunda-casa,0,2,0%,5
https://fla10.news/noticias/ha-um-ano-o-mundo-era-rubro-negro-flamengo-virava-sobre-o-chelsea-e-escrevia-mais-um-capitulo-eterno-de-sua-historia,0,2,0%,5
https://fla10.news/noticias/bellingham-decide-na-prorrogacao-inglaterra-derruba-a-noruega-de-haaland-e-volta-as-semifinais-da-copa-do-mundo,0,2,0%,5.5
https://fla10.news/noticias/noite-de-copa-no-maraca-flamengo-domina-sofre-reacao-mas-vence-o-cruzeiro-e-avanca-as-quartas-da-libertadores-em-um-jogo-eletrizante,0,2,0%,5.5
https://fla10.news/noticias/os-5-jogadores-que-podem-decidir-a-libertadores-pelo-flamengo,0,2,0%,5.5
https://fla10.news/raio-x,0,2,0%,5.5
https://fla10.news/colunas/caderno/panorama-do-canela,0,2,0%,6.5
https://fla10.news/noticias/conmebol-da-vitoria-ao-flamengo-por-wo-e-rubro-negro-herda-pontos-decisivos-na-libertadores,0,2,0%,6.5
https://fla10.news/flahistoria/o-tri-da-copa-do-brasil-a-conquista-que-iniciou-a-revolucao-rubro-negra,0,2,0%,7
https://fla10.news/noticias/gol-aos-50-minutos-elimina-o-flamengo-do-brasileiro-sub-20-em-roteiro-dramatico-no-ninho-do-urubu,0,2,0%,7.5
https://fla10.news/noticias/flamengo-aciona-agencia-da-cbf-e-tenta-barrar-venda-da-saf-do-vasco-para-marcos-lamacchia,0,2,0%,8
https://fla10.news/noticias/flamengo-tera-mudancas-contra-o-sao-paulo-e-leonardo-jardim-ganha-reforcos-importantes,0,2,0%,8
https://fla10.news/responsabilidade,0,2,0%,8
https://fla10.news/noticias/conselho-do-flamengo-aprova-reforma-eleitoral-e-rejeita-voto-online-para-presidente,0,2,0%,9.5
https://fla10.news/noticias/flamengo-transforma-estadios-do-brasil-em-extensao-do-maracana-e-impressiona-ate-rivais,0,2,0%,9.5
https://fla10.news/noticias/flamengo-vence-o-independiente-del-valle-por-2-a-0-em-quito-e-encaminha-vaga-na-semifinal-da-libertadores,0,2,0%,9.5
https://fla10.news/noticias/penarol-sonha-com-de-la-cruz-mas-flamengo-tera-decisao-dificil-sobre-o-futuro-do-uruguaio,0,2,0%,9.5
https://fla10.news/raio-x/raio-x-tatico-como-o-flamengo-venceu-o-remo-em-um-jogo-travado-pela-chuva-e-pela-marcacao,0,2,0%,9.5
https://fla10.news/noticias/flamengo-atropela-o-atletico-mg-confirma-classificacao-e-chega-forte-ao-mata-mata-do-brasileirao-feminino,0,2,0%,10
https://fla10.news/noticias/a-arma-secreta-da-noruega-entenda-o-plano-que-pode-tirar-o-brasil-da-copa-do-mundo-e-como-o-brasil-pode-anular-este-plano,0,2,0%,10.5
https://fla10.news/titulos,0,2,0%,10.5
https://fla10.news/voz-torcedor/mais-um-resumao-da-copa-com-cadu-que-copa-e--essa-irmao,0,2,0%,10.5
https://fla10.news/noticias/leo-ortiz-abre-o-jogo-sobre-chegada-ao-flamengo-bastidores-da-libertadores-e-transformacao-como-zagueiro,0,2,0%,11
https://fla10.news/noticias/espanha-e-franca-fazem-hoje-a-semifinal-dos-sonhos-da-copa-do-mundo-posse-de-bola-contra-velocidade-yamal-contra-mbappe-presente-contra-futuro,0,2,0%,13.5
https://fla10.news/noticias/por-que-o-plano-de-leonardo-jardim-nao-funcionou-o-raio-x-tatico-do-empate-entre-flamengo-e-sao-paulo,0,2,0%,18
https://fla10.news/noticias/guerra-no-futebol-mundial-uefa-anuncia-boicote-a-fifa-e-ameaca-provocar-o-maior-racha-da-historia-do-esporte,0,2,0%,18.5
https://fla10.news/videos/os-gols-de-flamengo-2-x-1-cruzeiro,0,2,0%,43.5
https://fla10.news/politica-de-privacidade,0,2,0%,63.5
https://fla10.news/videos/nunes-o-artilheiro-das-decisoes,0,2,0%,75
https://fla10.news/videos/e-o-f-agora-to-eu---bh-reclamando-da-falta-recebida-e-da--decisao-da-arbitragem,0,2,0%,76
https://fla10.news/noticias/bap-detalha-profissionalizacao-ingressos-e-visao-de-futuro-do-flamengo-em-entrevista-ao-charla-podcast,0,1,0%,1
https://fla10.news/noticias?page=7,0,1,0%,1
https://fla10.news/noticias?page=89,0,1,0%,1
https://fla10.news/videos/todos-os-gols-de-flamengo-3-x-0-botafogo,0,1,0%,1
https://fla10.news/colunas/boleiros-redes-sociais-e-o-diagnostico-equivocado-sobre-o-futebol-brasileiro-,0,1,0%,2
https://fla10.news/flahistoria/carlinhos-violino-o-maestro-que-encantou-em-campo-e-venceu-no-banco,0,1,0%,2
